index,name,type,trainable
0,input_layer,InputLayer,True
1,rescaling,Rescaling,True
2,normalization,Normalization,True
3,rescaling_1,Rescaling,True
4,stem_conv_pad,ZeroPadding2D,True
5,stem_conv,Conv2D,True
6,stem_bn,BatchNormalization,True
7,stem_activation,Activation,True
8,block1a_dwconv,DepthwiseConv2D,True
9,block1a_bn,BatchNormalization,True
10,block1a_activation,Activation,True
11,block1a_se_squeeze,GlobalAveragePooling2D,True
12,block1a_se_reshape,Reshape,True
13,block1a_se_reduce,Conv2D,True
14,block1a_se_expand,Conv2D,True
15,block1a_se_excite,Multiply,True
16,block1a_project_conv,Conv2D,True
17,block1a_project_bn,BatchNormalization,True
18,block2a_expand_conv,Conv2D,True
19,block2a_expand_bn,BatchNormalization,True
20,block2a_expand_activation,Activation,True
21,block2a_dwconv_pad,ZeroPadding2D,True
22,block2a_dwconv,DepthwiseConv2D,True
23,block2a_bn,BatchNormalization,True
24,block2a_activation,Activation,True
25,block2a_se_squeeze,GlobalAveragePooling2D,True
26,block2a_se_reshape,Reshape,True
27,block2a_se_reduce,Conv2D,True
28,block2a_se_expand,Conv2D,True
29,block2a_se_excite,Multiply,True
30,block2a_project_conv,Conv2D,True
31,block2a_project_bn,BatchNormalization,True
32,block2b_expand_conv,Conv2D,True
33,block2b_expand_bn,BatchNormalization,True
34,block2b_expand_activation,Activation,True
35,block2b_dwconv,DepthwiseConv2D,True
36,block2b_bn,BatchNormalization,True
37,block2b_activation,Activation,True
38,block2b_se_squeeze,GlobalAveragePooling2D,True
39,block2b_se_reshape,Reshape,True
40,block2b_se_reduce,Conv2D,True
41,block2b_se_expand,Conv2D,True
42,block2b_se_excite,Multiply,True
43,block2b_project_conv,Conv2D,True
44,block2b_project_bn,BatchNormalization,True
45,block2b_drop,Dropout,True
46,block2b_add,Add,True
47,block3a_expand_conv,Conv2D,True
48,block3a_expand_bn,BatchNormalization,True
49,block3a_expand_activation,Activation,True
50,block3a_dwconv_pad,ZeroPadding2D,True
51,block3a_dwconv,DepthwiseConv2D,True
52,block3a_bn,BatchNormalization,True
53,block3a_activation,Activation,True
54,block3a_se_squeeze,GlobalAveragePooling2D,True
55,block3a_se_reshape,Reshape,True
56,block3a_se_reduce,Conv2D,True
57,block3a_se_expand,Conv2D,True
58,block3a_se_excite,Multiply,True
59,block3a_project_conv,Conv2D,True
60,block3a_project_bn,BatchNormalization,True
61,block3b_expand_conv,Conv2D,True
62,block3b_expand_bn,BatchNormalization,True
63,block3b_expand_activation,Activation,True
64,block3b_dwconv,DepthwiseConv2D,True
65,block3b_bn,BatchNormalization,True
66,block3b_activation,Activation,True
67,block3b_se_squeeze,GlobalAveragePooling2D,True
68,block3b_se_reshape,Reshape,True
69,block3b_se_reduce,Conv2D,True
70,block3b_se_expand,Conv2D,True
71,block3b_se_excite,Multiply,True
72,block3b_project_conv,Conv2D,True
73,block3b_project_bn,BatchNormalization,True
74,block3b_drop,Dropout,True
75,block3b_add,Add,True
76,block4a_expand_conv,Conv2D,True
77,block4a_expand_bn,BatchNormalization,True
78,block4a_expand_activation,Activation,True
79,block4a_dwconv_pad,ZeroPadding2D,True
80,block4a_dwconv,DepthwiseConv2D,True
81,block4a_bn,BatchNormalization,True
82,block4a_activation,Activation,True
83,block4a_se_squeeze,GlobalAveragePooling2D,True
84,block4a_se_reshape,Reshape,True
85,block4a_se_reduce,Conv2D,True
86,block4a_se_expand,Conv2D,True
87,block4a_se_excite,Multiply,True
88,block4a_project_conv,Conv2D,True
89,block4a_project_bn,BatchNormalization,True
90,block4b_expand_conv,Conv2D,True
91,block4b_expand_bn,BatchNormalization,True
92,block4b_expand_activation,Activation,True
93,block4b_dwconv,DepthwiseConv2D,True
94,block4b_bn,BatchNormalization,True
95,block4b_activation,Activation,True
96,block4b_se_squeeze,GlobalAveragePooling2D,True
97,block4b_se_reshape,Reshape,True
98,block4b_se_reduce,Conv2D,True
99,block4b_se_expand,Conv2D,True
100,block4b_se_excite,Multiply,True
101,block4b_project_conv,Conv2D,True
102,block4b_project_bn,BatchNormalization,True
103,block4b_drop,Dropout,True
104,block4b_add,Add,True
105,block4c_expand_conv,Conv2D,True
106,block4c_expand_bn,BatchNormalization,True
107,block4c_expand_activation,Activation,True
108,block4c_dwconv,DepthwiseConv2D,True
109,block4c_bn,BatchNormalization,True
110,block4c_activation,Activation,True
111,block4c_se_squeeze,GlobalAveragePooling2D,True
112,block4c_se_reshape,Reshape,True
113,block4c_se_reduce,Conv2D,True
114,block4c_se_expand,Conv2D,True
115,block4c_se_excite,Multiply,True
116,block4c_project_conv,Conv2D,True
117,block4c_project_bn,BatchNormalization,True
118,block4c_drop,Dropout,True
119,block4c_add,Add,True
120,block5a_expand_conv,Conv2D,True
121,block5a_expand_bn,BatchNormalization,True
122,block5a_expand_activation,Activation,True
123,block5a_dwconv,DepthwiseConv2D,True
124,block5a_bn,BatchNormalization,True
125,block5a_activation,Activation,True
126,block5a_se_squeeze,GlobalAveragePooling2D,True
127,block5a_se_reshape,Reshape,True
128,block5a_se_reduce,Conv2D,True
129,block5a_se_expand,Conv2D,True
130,block5a_se_excite,Multiply,True
131,block5a_project_conv,Conv2D,True
132,block5a_project_bn,BatchNormalization,True
133,block5b_expand_conv,Conv2D,True
134,block5b_expand_bn,BatchNormalization,True
135,block5b_expand_activation,Activation,True
136,block5b_dwconv,DepthwiseConv2D,True
137,block5b_bn,BatchNormalization,True
138,block5b_activation,Activation,True
139,block5b_se_squeeze,GlobalAveragePooling2D,True
140,block5b_se_reshape,Reshape,True
141,block5b_se_reduce,Conv2D,True
142,block5b_se_expand,Conv2D,True
143,block5b_se_excite,Multiply,True
144,block5b_project_conv,Conv2D,True
145,block5b_project_bn,BatchNormalization,True
146,block5b_drop,Dropout,True
147,block5b_add,Add,True
148,block5c_expand_conv,Conv2D,True
149,block5c_expand_bn,BatchNormalization,True
